Tanggal,sumber,Artikel
2023-02-15 10:56:26+00:00,icha687,Gojali mengatakan alasan pertama adalah karena  Prabowo Subianto dianggap memiliki modal sosial yang cukup untuk menjadi calon presiden (Capres).  #IndonesiaKuat #BangkitBersama https://t.co/mxJCh9Xg58
2023-02-15 10:39:45+00:00,NapiPKS,"Woman https://t.co/4oWPerxvp7

Relawan JoMan mendukung Ketua Umum Partai Gerindra Prabowo Subianto maju sebagai calon presiden (capres) di Pemilu 2024. Akankah JoMan ganti nama?"
2023-02-15 09:53:30+00:00,detikcom,"Partai Ummat resmi mendeklarasikan dukungan untuk Anies Baswedan sebagai calon presiden di Pilpres 2024. Sebelumnya, ada dua nama lain yang mencuat di rakernas mereka, yakni Prabowo Subianto dan Gatot Nurmantyo. https://t.co/bm0hgZ7kA6"
2023-02-15 09:37:08+00:00,detikcom,"Relawan Jokowi Mania mendukung Ketum Partai Gerindra Prabowo Subianto maju sebagai calon presiden di Pemilu 2024. Lalu, akankah JoMan ganti nama?  https://t.co/yq5WpUlTXS"
2023-02-15 09:03:32+00:00,tribunnewswiki,"Organisasi relawan pendukung Presiden Joko Widodo, Jokowi Mania Nusantara (Joman), memastikan akan memberi dukungan kepada Ketua Umum Partai Gerindra Prabowo Subianto sebagai calon presiden pada Pilpres 2024.

https://t.co/MnwhubYsSs"
2023-02-15 08:58:11+00:00,harrispradana_,"Terbaru, hasil survei Lembaga Survei dan Polling Indonesia (SPIN) terkait calon presiden atau capres di Pilpres 2024. #IndonesiaKuat  #IkutPakde Prabowo Subianto"
2023-02-15 08:22:18+00:00,TitikTerangNews,"Kelompok relawan Presiden RI Joko Widodo atau yang dikenal sebagai Jokowi Mania (Joman) menyatakan dukungan kepada Ketua Umum Partai Gerindra Prabowo Subianto untuk menjadi calon presiden (capres) pada Pilpres 2024.
 
#Pilpres2024 #JokoWidodo https://t.co/xlZEetNdUV"
2023-02-15 08:15:40+00:00,SSandala1,"☝️ _*""Pernyataan Sikap Bung Noell JOMAN (Eks-Ketua Umum Relawan Ganjar Pranowo MANIA/GP MANIA) yang Mendukung Prabowo Subianto sebagai Calon Presiden 2024..!!""*_ ✊🇮🇩 https://t.co/DjEgIIFCgy"
2023-02-15 08:00:09+00:00,mingskyyy_,"Menjabat sebagai Menhan sejak 2019, Prabowo kembali siap mencalonkan diri sebagai calon presiden (capres) pada pemilu 2024 mendatang.
#IndonesiaKuat #IkutPakde Prabowo Subianto"
2023-02-15 07:38:08+00:00,ratih_ploey,"""Ke depan, DPP Barisan Relawan Indonesia Kuat akan fokus memenangkan Prabowo Subianto. Adapun untuk calon wakil presiden, dia menyerahkan kepada Prabowo Subianto siapapun nantinya yang akan dipilih,"" pungkas Restianti.

Prabowo Subianto
#IndonesiaKuat #IkutPakde"
2023-02-15 07:38:07+00:00,ratih_ploey,"""Dan kami akan fokus di Pak Prabowo. Siapa saja (bakal calon wakil presiden,-red) kami semua mendukung beliau,"" tuturnya.

Prabowo Subianto
#IndonesiaKuat #IkutPakde"
2023-02-15 07:38:03+00:00,ratih_ploey,"Ketua Umum DPP BRIK, Restianti Salman mengatakan, Barisan Relawan Indonesia Kuat siap menangkan Prabowo Subianto sebagai calon presiden dalam Pemilu 2024.

Prabowo Subianto
#IndonesiaKuat #IkutPakde"
